 11 TEFF'S       12 LOG G'S       6 FE.H'S        4 INDICES  (1 Sept 2005)
 1.504 1.301 1.113 1.010 0.927 0.809 0.703 0.610 0.531 0.467 0.418
 1.508 1.323 1.137 1.020 0.947 0.833 0.729 0.636 0.554 0.485 0.430
 [Fe/H] = -3.00: Color Index = V-I
 4.409 3.762 2.993 2.428 1.955 1.701 1.430 1.170 0.949 0.796 0.738
 4.114 3.488 2.739 2.246 1.834 1.563 1.321 1.112 0.942 0.815 0.736
 3.865 3.240 2.539 2.095 1.724 1.468 1.254 1.077 0.934 0.821 0.735
 3.655 3.050 2.393 1.956 1.625 1.393 1.204 1.050 0.925 0.822 0.734
 3.480 2.880 2.275 1.851 1.546 1.341 1.172 1.033 0.917 0.819 0.734
 3.328 2.750 2.183 1.782 1.492 1.305 1.149 1.020 0.912 0.820 0.737
 3.167 2.650 2.127 1.726 1.459 1.287 1.140 1.014 0.908 0.818 0.742
 3.027 2.570 2.089 1.718 1.453 1.284 1.139 1.015 0.910 0.822 0.749
 2.960 2.520 2.095 1.722 1.455 1.287 1.143 1.020 0.916 0.830 0.759
 2.915 2.490 2.100 1.752 1.466 1.299 1.154 1.030 0.925 0.838 0.768
 2.913 2.480 2.120 1.779 1.487 1.318 1.170 1.043 0.936 0.849 0.781
 2.919 2.510 2.140 1.810 1.510 1.337 1.186 1.056 0.947 0.859 0.792
 [Fe/H] = -2.00: Color Index = V-I
 4.449 3.802 3.033 2.318 1.746 1.622 1.415 1.174 0.949 0.787 0.738
 4.154 3.528 2.779 2.128 1.649 1.486 1.300 1.112 0.942 0.810 0.736
 3.905 3.280 2.579 2.000 1.571 1.400 1.232 1.074 0.934 0.819 0.735
 3.695 3.090 2.433 1.895 1.502 1.337 1.185 1.047 0.925 0.820 0.734
 3.520 2.920 2.315 1.821 1.440 1.283 1.145 1.024 0.917 0.822 0.735
 3.368 2.790 2.223 1.764 1.410 1.258 1.127 1.013 0.912 0.821 0.735
 3.207 2.690 2.167 1.743 1.397 1.240 1.110 1.001 0.908 0.824 0.742
 3.067 2.610 2.129 1.741 1.400 1.241 1.110 1.002 0.910 0.828 0.749
 3.000 2.560 2.135 1.762 1.414 1.249 1.116 1.007 0.916 0.835 0.758
 2.955 2.530 2.140 1.792 1.438 1.270 1.132 1.019 0.925 0.843 0.768
 2.953 2.520 2.160 1.819 1.469 1.294 1.150 1.032 0.935 0.852 0.778
 2.959 2.550 2.180 1.850 1.507 1.321 1.170 1.047 0.946 0.862 0.789
 [Fe/H] = -1.00: Color Index = V-I
 4.549 3.902 2.736 2.067 1.580 1.447 1.285 1.114 0.953 0.823 0.742
 4.254 3.628 2.627 2.001 1.560 1.386 1.224 1.077 0.946 0.833 0.739
 4.005 3.380 2.529 1.949 1.529 1.339 1.182 1.050 0.937 0.835 0.738
 3.795 3.190 2.444 1.897 1.510 1.308 1.152 1.029 0.927 0.834 0.738
 3.620 3.020 2.364 1.854 1.490 1.288 1.134 1.016 0.919 0.831 0.738
 3.468 2.890 2.292 1.828 1.489 1.279 1.123 1.006 0.914 0.831 0.741
 3.307 2.790 2.251 1.829 1.495 1.283 1.124 1.005 0.911 0.829 0.745
 3.167 2.710 2.229 1.836 1.513 1.295 1.131 1.009 0.914 0.833 0.752
 3.100 2.660 2.235 1.862 1.537 1.319 1.151 1.022 0.922 0.839 0.762
 3.055 2.630 2.240 1.892 1.565 1.349 1.177 1.041 0.933 0.846 0.771
 3.053 2.620 2.260 1.919 1.598 1.382 1.204 1.061 0.946 0.855 0.784
 3.059 2.650 2.280 1.950 1.634 1.413 1.230 1.081 0.961 0.867 0.796
 [Fe/H] = -0.50: Color Index = V-I
 4.525 3.767 2.695 1.994 1.581 1.415 1.250 1.094 0.955 0.841 0.760
 4.314 3.595 2.611 1.961 1.565 1.380 1.215 1.069 0.943 0.837 0.752
 4.117 3.440 2.538 1.937 1.554 1.352 1.185 1.046 0.931 0.833 0.748
 3.935 3.292 2.470 1.922 1.545 1.332 1.164 1.031 0.924 0.832 0.746
 3.760 3.160 2.417 1.906 1.543 1.326 1.155 1.021 0.915 0.826 0.744
 3.608 3.030 2.375 1.899 1.550 1.324 1.150 1.016 0.912 0.826 0.746
 3.447 2.930 2.346 1.912 1.565 1.332 1.154 1.018 0.914 0.829 0.752
 3.307 2.850 2.329 1.932 1.592 1.353 1.169 1.028 0.920 0.834 0.758
 3.240 2.800 2.335 1.964 1.629 1.382 1.191 1.045 0.933 0.844 0.766
 3.195 2.770 2.340 2.000 1.668 1.415 1.217 1.064 0.946 0.853 0.776
 3.193 2.760 2.360 2.033 1.712 1.452 1.248 1.089 0.966 0.868 0.786
 3.199 2.790 2.380 2.070 1.758 1.493 1.283 1.118 0.989 0.885 0.795
 [Fe/H] =  0.00: Color Index = V-I
 4.600 3.869 2.744 2.085 1.689 1.443 1.244 1.084 0.953 0.844 0.748
 4.407 3.692 2.665 2.056 1.644 1.393 1.201 1.054 0.939 0.841 0.745
 4.221 3.544 2.605 2.038 1.635 1.368 1.174 1.034 0.929 0.839 0.744
 4.045 3.400 2.540 2.026 1.625 1.354 1.160 1.022 0.920 0.834 0.744
 3.880 3.260 2.490 2.008 1.620 1.349 1.154 1.015 0.914 0.831 0.748
 3.728 3.130 2.455 2.000 1.623 1.354 1.158 1.017 0.914 0.832 0.753
 3.567 3.030 2.426 2.000 1.633 1.361 1.163 1.021 0.918 0.836 0.759
 3.433 2.950 2.409 2.003 1.642 1.378 1.180 1.034 0.925 0.840 0.765
 3.360 2.900 2.415 2.012 1.660 1.397 1.198 1.049 0.937 0.849 0.773
 3.315 2.870 2.420 2.042 1.693 1.427 1.224 1.070 0.954 0.862 0.782
 3.313 2.860 2.440 2.069 1.733 1.457 1.250 1.095 0.978 0.882 0.792
 3.319 2.890 2.460 2.100 1.770 1.489 1.278 1.120 0.999 0.900 0.806
 [Fe/H] =  0.30: Color Index = V-I
 4.709 4.000 2.824 2.173 1.760 1.505 1.304 1.142 1.004 0.875 0.740
 4.517 3.821 2.745 2.138 1.737 1.480 1.281 1.124 0.993 0.874 0.750
 4.321 3.641 2.685 2.119 1.721 1.461 1.262 1.108 0.984 0.873 0.758
 4.156 3.480 2.620 2.100 1.710 1.447 1.248 1.097 0.977 0.871 0.763
 3.990 3.348 2.570 2.090 1.705 1.440 1.241 1.091 0.974 0.872 0.767
 3.828 3.230 2.535 2.077 1.705 1.440 1.239 1.087 0.969 0.869 0.771
 3.667 3.130 2.506 2.077 1.710 1.446 1.243 1.088 0.968 0.868 0.776
 3.527 3.050 2.489 2.082 1.721 1.456 1.251 1.094 0.971 0.871 0.781
