#Teff LogG F606-F814
9200. 4.0 0.0335109
9200. 4.5 0.04779
9200. 5.0 0.071539
9200. 5.5 0.09417
9400. 1.5 0.07771
9400. 2.0 0.04457
9400. 2.5 0.028823
9400. 3.0 0.020564
9400. 3.5 0.0172612
9400. 4.0 0.019432
9400. 4.5 0.0312158
9400. 5.0 0.049065
9400. 5.5 0.071867
9600. 1.5 0.07626
9600. 2.0 0.04038
9600. 2.5 0.023074
9600. 3.0 0.013413
9600. 3.5 0.0083687
9600. 4.0 0.007755
9600. 4.5 0.013532
9600. 5.0 0.026593
9600. 5.5 0.050952
9800. 1.5 0.07448
9800. 2.0 0.03618
9800. 2.5 0.017861
9800. 3.0 0.007237
9800. 3.5 0.0008797
9800. 4.0 -0.001649
9800. 4.5 0.000941
9800. 5.0 0.011944
9800. 5.5 0.031114
10000. 1.5 0.07264
10000. 2.0 0.03204
10000. 2.5 0.012873
10000. 3.0 0.00154
10000. 3.5 -0.00554
10000. 4.0 -0.009615
10000. 4.5 -0.009471
10000. 5.0 -0.001463
10000. 5.5 0.012728
